0,1,2,3,4
An Education,http://www.imdb.com/title/tt1174732/,http://technoir.nl/post/92421448058/july2014-aneducation,"'If you never do anything, you never become anyone.'
An Education (2009)",http://38.media.tumblr.com/8b0c1b16107eb7fa42676a299caa790c/tumblr_n921qrMC0z1qghl49o1_r1_500.gif
The Deer Hunter,http://www.imdb.com/title/tt0077416/,http://technoir.nl/post/92332999778/july2014-thedeerhunter,"'A deer has to be taken with one shot. I try to tell people that but they don't listen.'
The Deer Hunter (1978)",http://37.media.tumblr.com/7676ad4930cbe51a00fce9fc7931bbbf/tumblr_n90hzdgYjY1qghl49o1_500.gif
Under the Skin,http://www.imdb.com/title/tt1441395/,http://technoir.nl/post/91185557623/july2014-undertheskin,"'Will You Come With Me?&#8217;
Under the Skin (2013)",http://38.media.tumblr.com/712b6108d532ea23eb94124eb55aefd5/tumblr_n8exg9v5sC1qghl49o1_500.gif
Tracks,http://www.imdb.com/title/tt2167266/,http://technoir.nl/post/90965092853/july2014-tracks,"'Some nomads are at home everywhere. Others are at home nowhere, and I was one of those'
Tracks (2013)",http://37.media.tumblr.com/10a045b0dcec77597ff7d335f555abaa/tumblr_n8azhzKdIz1qghl49o1_500.gif
Ida,http://www.imdb.com/title/tt2718492/,http://technoir.nl/post/90874953163/july2014-ida,"'You have no idea of the effect you have, do you?' 
Ida (2013)",http://33.media.tumblr.com/5c571312ff3d1e410bb2043f045d61e5/tumblr_n8998w5t8f1qghl49o1_500.gif
Her,http://www.imdb.com/title/tt1798709/,http://technoir.nl/post/90196444478/june2014-her,"'I’m trying to write a piece of music that’s about what it feels like to be on the beach with you right now. &#8230; I think you captured it.'
Her (2013)",http://33.media.tumblr.com/695ccecee64130f06aab3e3b6c5deb09/tumblr_n7wiwvCUqJ1qghl49o1_500.gif
Only Lovers Left Alive,http://www.imdb.com/title/tt1714915/,http://technoir.nl/post/89395138573/june2014-onlyloversleftalive,"'Love alters not with its brief hours and weeks.'
Only Lovers Left Alive (2013)",http://37.media.tumblr.com/366f53e3fe688c737520bb12f2ec6ed6/tumblr_n7hlw7dbxw1qghl49o1_500.gif
The Grand Budapest Hotel,http://www.imdb.com/title/tt2278388/,http://technoir.nl/post/88122606778/june2014-thegrandbudapesthotel2,"'For my dearest darling, treasured, cherished Agatha whom I worship. With respect, adoration, admiration, kisses, gratitude, best wishes, and love from Z to A.'
The Grand Budapest Hotel (2014)",http://33.media.tumblr.com/7c6e670462dd37888ef8f26c80a19358/tumblr_n6tmp9RiK41qghl49o1_r3_500.gif
The Grand Budapest Hotel,http://www.imdb.com/title/tt2278388/,http://technoir.nl/post/88113777168/june2014-thegrandbudapesthotel,"'We were escorted through a green baize door, down a narrow service corridor and into the butlers pantry'
The Grand Budapest Hotel (2014)",http://38.media.tumblr.com/9308a837c76e8b6ace9d48068e91b241/tumblr_n6tjjiDl9a1qghl49o1_500.gif
Serenity,http://www.imdb.com/title/tt0379786/,http://technoir.nl/post/87479810428/june2014-serenity,"'Do we have a kill order?'
Serenity (2005)",http://38.media.tumblr.com/dce63ea5c514a8adcdb3ac92446505c2/tumblr_n6hj6azpoY1qghl49o1_500.gif
